Personnel No.,Entry,Action type,Personnel Subarea,Personnel Area,Chngd on,Reason for action,Leaving date,Cost Ctr,Cost Center,Functional Area,Gender Key,Birth date,Job
60531162,12/7/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/11/2017,I5 Excessive absenteeism,8/10/2017,12250,MV Pass/LT F.F.,,Male,2/5/1974,Material Handler MVN-002
60531192,3/30/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/19/2017,V3 Accepted other employment,5/19/2017,2301202050,Ext Asse. Labor AIS,,Male,6/14/1994,Assembler SOM-001
60531199,9/22/2014,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/30/2017,V3 Accepted other employment,1/29/2017,12050,MV CVT  Processing,,Male,12/25/1987,Calendar Machine Operator MVN-206
60531202,9/22/2014,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/17/2017,V1 Mutual agreement,4/16/2017,22050,MV CF Pass Bead Assm,,Male,8/15/1992,Winding/Apex Machine Operator MVN-207
60531233,3/16/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/21/2017,T2 Family issues,8/17/2017,12250,MV Pass/LT F.F.,,Female,11/24/1992,Inspector I
60531247,10/1/2014,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/9/2017,I2 Disciplinary action,6/9/2017,12960,MV Data Process Dept,,Male,5/16/1968,IT Technician III
60531253,10/1/2014,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/1/2017,V3 Accepted other employment,7/30/2017,12960,MV Data Process Dept,,Male,6/30/1981,IT Technician III
60531273,6/29/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/25/2017,V3 Accepted other employment,4/28/2017,2301202040,Ext Finish Labor A,,Female,9/24/1958,Operator SOM-001
60531304,5/11/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/9/2017,I5 Excessive absenteeism,6/4/2017,12040,MV Calendering,,Male,6/5/1984,Calendar Machine Operator MVN-206
60531319,3/29/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/19/2017,V3 Accepted other employment,5/18/2017,2301203050,EBA2 Crush ring ass.,,Female,6/22/1987,Group Leader SOM-006
60531322,3/1/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2/24/2017,I2 Disciplinary action,2/22/2017,2301202050,Ext Asse. Labor AIS,,Female,3/14/1991,Assembler SOM-001
60531346,3/23/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/29/2017,V3 Accepted other employment,6/30/2017,2301202050,Ext Asse. Labor AIS,,Female,4/22/1970,Assembler SOM-001
60531426,7/27/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/25/2017,V9 Job dissatisfaction,5/23/2017,2301202020,Ext Autocl Labor A,,Male,11/12/1991,Operator SOM-005
60531427,10/20/2014,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,9/25/2017,I3 Performance,9/22/2017,80665,Tooling Shop,,Male,9/9/1991,Set Up Technician SMT-008
60531431,10/20/2014,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,6/1/2017,I2 Disciplinary action,5/27/2017,70610,Mixing,,Male,2/17/1980,Mixer Machine Operator SMT-004
60531448,2/16/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,3/24/2017,V8 Relocation,3/12/2017,12650,MV QA Lab,,Female,10/5/1994,Lab Technician II
60531482,8/10/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V0 Resignation unknown/Other,8/12/2017,22060,MV CF Tire Assem PLT,,Male,2/16/1996,
60531528,5/18/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/6/2017,V3 Accepted other employment,6/2/2017,2301202050,Ext Asse. Labor AIS,,Male,6/7/1969,Assembler SOM-001
60531539,3/8/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/19/2017,V3 Accepted other employment,6/17/2017,2301203030,BM Machine&Proctect,,Male,6/26/1992,Operator SOM-006
60531561,11/2/2014,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/7/2017,I2 Disciplinary action,9/5/2017,2301202020,Ext Autocl Labor A,,Male,3/14/1969,Group Leader SOM-006
60531562,3/16/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/9/2017,V9 Job dissatisfaction,8/4/2017,12030,MV Mixing,,Male,8/10/1989,Mixer Machine Operator MVN-217
60531599,3/23/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/18/2017,V3 Accepted other employment,3/31/2017,2301202020,Ext Autocl Labor A,,Male,6/18/1990,Operator SOM-005
60531606,2/21/2011,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,1/24/2017,V3 Accepted other employment,1/19/2017,999HR,HR Dummy-CoCd515 Emp,,Female,6/21/1982,Manager Controlling
60531718,4/19/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/18/2017,V3 Accepted other employment,8/27/2017,2301203040,Weld-Perif/Frimo/KLN,,Male,12/10/1990,Operator SOM-002
60531745,3/30/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/29/2017,V7 Co-worker dissatisfaction,6/30/2017,2301258210,QC Inspection,,Female,6/23/1974,Quality Inspector II SOM-004
60531750,11/17/2014,30 Termination,Fort Mill-CF,US-SC-Fort Mill-CTNA,9/21/2017,T3 Higher pay higher respons.,8/4/2017,99243,HQ Dist Center-Cha,,Male,4/19/1989,Account Manager
60531752,12/1/2014,30 Termination,Mississauga,CA-ON-Mississauga-CTNA CA Sale,4/7/2017,T0 Need for childcare,3/31/2017,99190,CA Selling Comml,,Male,5/2/1978,Sales Represenative - SIBP
60531755,8/2/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/17/2017,V2 Unable to return to work,3/16/2017,2301202050,Ext Asse. Labor AIS,,Male,2/1/1964,Assembler SOM-001
60531771,8/23/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,10/9/2017,V0 Resignation unknown/Other,10/8/2017,2301203040,Weld-Perif/Frimo/KLN,,Female,8/18/1959,Operator SOM-002
60531791,10/1/2014,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2/25/2016,VE End of assignment,8/31/2017,2301219160,Industrial Eng,,Male,3/27/1970,Principal IT Business Systems Analyst
60531827,5/10/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/22/2017,V2 Unable to return to work,3/21/2017,2301202050,Ext Asse. Labor AIS,,Male,4/25/1968,Assembler SOM-001
60531834,4/20/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/7/2017,I2 Disciplinary action,9/5/2017,2301202020,Ext Autocl Labor A,,Male,8/11/1995,Operator SOM-005
60531886,5/10/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/25/2017,V0 Resignation unknown/Other,9/22/2017,2301203030,BM Machine&Proctect,,Male,12/15/1956,Group Leader SOM-006
60531925,4/26/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/10/2017,V3 Accepted other employment,4/8/2017,2301203030,BM Machine&Proctect,,Male,1/9/1991,Group Leader SOM-006
60532008,12/15/2014,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/15/2017,V3 Accepted other employment,8/14/2017,12730,MV Gen Maint,,Male,4/24/1974,Area Manager
60532018,6/8/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/19/2017,I2 Disciplinary action,5/18/2017,2301202040,Ext Finish Labor A,,Male,6/29/1989,Final Finish Machine Operator SOM-001
60532033,6/7/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,2/1/2017,V3 Accepted other employment,1/20/2017,2301202050,Ext Asse. Labor AIS,,Female,6/19/1965,Assembler SOM-001
60532049,5/4/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/22/2017,I2 Disciplinary action,9/22/2017,2301202050,Ext Asse. Labor AIS,,Male,10/3/1953,Assembler SOM-001
60532054,5/10/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/26/2017,V8 Relocation,5/21/2017,2301208130,Internal Logistics,,Female,11/18/1988,Group Leader SOM-005
60532063,6/8/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/16/2017,V5 Job abandonment,4/30/2017,2301203040,Weld-Perif/Frimo/KLN,,Female,10/12/1970,Operator SOM-002
60532070,4/13/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/3/2017,I5 Excessive absenteeism,3/30/2017,12030,MV Mixing,,Male,5/31/1962,Truck Driver MVN-203
60532090,12/22/2014,30 Termination,Charlotte,US-NC-Charlotte-CNTA Sales,7/1/2017,I0 Reduction in force,6/30/2017,99243,HQ Dist Center-Cha,,Male,10/20/1976,Material Handler
60532123,1/5/2015,30 Termination,Rochester NH,US-NH-Rochester-CT Tpol,2/3/2017,V3 Accepted other employment,2/2/2017,2301208110,Dispatch - Variable,,Female,12/15/1992,Material Handler SOM-005
60532180,1/5/2015,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,6/5/2017,V8 Relocation,6/2/2017,99633,HQ IT Manufacturing,,Male,10/30/1965,IT Business Systems Analyst
60532196,11/2/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/7/2017,I5 Excessive absenteeism,4/6/2017,12180,MV PII Trk Tire Bldg,,Male,10/23/1978,Tire Builder Operator MVN-222
60532212,6/11/2012,30 Termination,"MI, Taylor",US-All-Best Drive,3/22/2017,VT Transf.to other Conti comp.,2/28/2017,98006,BD Sales Detroit,,Male,9/10/1976,Manager Sales Operations
60532254,5/3/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/10/2017,V2 Unable to return to work,4/12/2017,2301202050,Ext Asse. Labor AIS,,Male,6/21/1957,Assembler SOM-001
60532326,3/6/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/14/2017,V3 Accepted other employment,4/10/2017,2301203040,Weld-Perif/Frimo/KLN,,Male,1/27/1962,Operator SOM-002
60532347,2/16/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2/21/2017,V3 Accepted other employment,2/2/2017,80650,Bead,,Male,5/9/1984,Winding/Apex Machine Operator SMT-003
60532363,3/27/2016,30 Termination,Rochester NH,US-NH-Rochester-CT Tpol,3/24/2017,V3 Accepted other employment,3/24/2017,2301208120,Warehouse - Var,,Male,7/22/1990,Material Handler SOM-004
60532394,2/12/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/16/2017,V5 Job abandonment,3/10/2017,2301258210,QC Inspection,,Female,1/2/1954,Quality Inspector I SOM-003
60532414,11/2/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/7/2017,V3 Accepted other employment,4/5/2017,12270,MV Truck F.F.,,Male,6/5/1990,Set Up Technician III
60532424,9/20/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/14/2017,V3 Accepted other employment,4/13/2017,2301203010,"Mixer,Dryer,Material",,Male,12/15/1987,Material Handler SOM-004
60532430,8/3/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/8/2017,V9 Job dissatisfaction,9/6/2017,2301203040,Weld-Perif/Frimo/KLN,,Male,3/13/1992,Group Leader SOM-006
60532462,6/8/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/23/2017,I5 Excessive absenteeism,8/21/2017,12170,MV Tire Assembly PLT,,Male,5/17/1986,Tire Builder Operator MVN-222
60532505,6/8/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/3/2017,V8 Relocation,5/2/2017,12050,MV CVT  Processing,,Male,9/3/1961,Extruder Machine Operator MVN-223
60532530,9/21/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,4/24/2017,V5 Job abandonment,4/23/2017,2301219130,Prod Sup BM,,Male,7/13/1987,Supervisor Production Lin
60532542,8/31/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/14/2017,I2 Disciplinary action,2/14/2017,22060,MV CF Tire Assem PLT,,Male,2/22/1987,Tire Builder Operator MVN-222
60532545,7/6/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/3/2017,V0 Resignation unknown/Other,5/2/2017,12030,MV Mixing,,Male,12/22/1993,Mixer Machine Operator MVN-210
60532557,3/16/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,6/2/2017,V3 Accepted other employment,6/2/2017,70700,Head of Quality,,Female,6/28/1978,Inspector II SMT-006
60532567,3/9/2015,30 Termination,Fort Mill-PLT,US-SC-Fort Mill-CTNA Prod,2/20/2017,V3 Accepted other employment,2/17/2017,999HR,HR Dummy-CoCd515 Emp,,Male,9/24/1984,SCM Associate
60532568,3/2/2015,30 Termination,Halstead,US-KS-Halstead-CT Legg,5/5/2017,V2 Unable to return to work,4/5/2017,11000,General production,,Male,5/23/1986,Press Operator HAL-002
60532571,3/16/2015,30 Termination,Trumann,US-AR-Trumann-CT Parker,9/11/2017,I5 Excessive absenteeism,9/5/2017,8601801040,Assembly,,Female,2/29/1988,Extruder Machine Operator
60532651,7/11/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,9/27/2017,I2 Disciplinary action,9/25/2017,22060,MV CF Tire Assem PLT,,Male,8/29/1996,Tire Builder Operator MVN-222
60532653,9/27/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,10/9/2017,12250,MV Pass/LT F.F.,,Male,2/15/1992,Rework/Repair Operator Final Finish MVN-
60532666,5/8/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,10/5/2017,V3 Accepted other employment,10/4/2017,2301202050,Ext Asse. Labor AIS,,Female,10/10/1980,Assembler SOM-001
60532698,12/7/2015,30 Termination,Barnsville,US-GA-Barnsville-CTNA Aldora,7/13/2017,V2 Unable to return to work,7/17/2017,18390,AD Direct Cabling,,Male,8/16/1978,Cabler ALD-003
60532721,7/6/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,3/24/2017,V2 Unable to return to work,3/22/2017,22060,MV CF Tire Assem PLT,,Male,9/20/1978,Tire Builder Operator MVN-222
60532743,11/2/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/19/2017,I5 Excessive absenteeism,5/18/2017,12040,MV Calendering,,Male,1/14/1992,Calendar Machine Operator MVN-206
60532761,6/8/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/23/2017,I2 Disciplinary action,8/20/2017,12060,MV Radial Extruding,,Male,5/15/1989,Extruder Machine Operator MVN-223
60532780,4/1/2015,30 Termination,Fort Mill-PLT,US-SC-Fort Mill-CTNA Prod,8/25/2017,VE End of assignment,8/31/2017,99470,HQ Factory Admin,,Male,4/6/1951,Director Manufacturing Operations
60532787,4/3/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,6/29/2017,V3 Accepted other employment,6/29/2017,2301203030,BM Machine&Proctect,,Male,4/10/1989,Group Leader SOM-006
60532796,10/5/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/8/2017,V5 Job abandonment,5/2/2017,2301203030,BM Machine&Proctect,OP,Male,10/15/1988,Operator SOM-002
60532810,6/27/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,10/2/2017,V3 Accepted other employment,9/29/2017,2301258210,QC Inspection,,Female,1/25/1983,Quality Inspector III SOM-005
60532826,1/18/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/13/2017,V5 Job abandonment,2/12/2017,12050,MV CVT  Processing,,Male,9/27/1972,Calendar Machine Operator MVN-206
60532857,9/21/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/18/2017,T1 Need for care of a relative,9/16/2017,2301258210,QC Inspection,,Female,7/2/1964,Quality Inspector I SOM-003
60532869,4/20/2015,30 Termination,Fort Mill-PLT,US-SC-Fort Mill-CTNA,7/21/2017,V3 Accepted other employment,7/21/2017,99120,DLR Chn Great Lakes,,Male,1/15/1991,Sales Associate - SIBP
60532916,4/20/2015,30 Termination,Halstead,US-KS-Halstead-CT Legg,1/30/2017,I8 Restructuring,1/27/2017,13000,Maintenance,,Male,2/6/1961,Supervisor Production Area
60532958,5/1/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,7/11/2017,V3 Accepted other employment,7/14/2017,2301202050,Ext Asse. Labor AIS,,Female,10/17/1989,Assembler SOM-001
60532960,4/27/2015,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,4/27/2017,I3 Performance,4/27/2017,99561,CVT PDT NAFTA,,Male,12/11/1985,Development Engineer
60532980,11/16/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,9/14/2017,I2 Disciplinary action,9/12/2017,12250,MV Pass/LT F.F.,,Female,6/21/1989,Inspector I
60532983,5/11/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,3/8/2017,I3 Performance,3/7/2017,80680,Final Finishing,,Male,6/9/1983,Rework/Repair Operator Final Finish SMT-
60533000,5/11/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,5/3/2017,I2 Disciplinary action,5/3/2017,70610,Mixing,,Female,11/17/1981,Chemical Weighing Operator SMT-002
60533006,5/19/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,,V5 Job abandonment,9/4/2017,12260,MV PII Truck Curing,,Male,10/1/1994,
60533010,5/4/2015,30 Termination,Halstead,US-KS-Halstead-CT Legg,1/31/2017,I8 Restructuring,1/27/2017,10000,Productions man.,,Male,10/23/1958,Supervisor Production Area
60533011,5/11/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,6/16/2017,V0 Resignation unknown/Other,6/15/2017,80660,Tire Building,,Female,7/23/1982,Tire Builder Operator SMT-004
60533025,3/20/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/23/2017,V3 Accepted other employment,3/21/2017,2301208130,Internal Logistics,,Male,10/14/1995,Material Handler SOM-004
60533041,5/11/2015,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA Prod,4/26/2017,VC Dissatisfied with no.of hrs,4/28/2017,999HR,HR Dummy-CoCd515 Emp,,Female,11/19/1971,Accounting Assistant II
60533069,5/11/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/9/2017,V3 Accepted other employment,1/6/2017,12250,MV Pass/LT F.F.,,Male,10/5/1981,Inspector I
60533090,5/18/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,4/12/2017,V3 Accepted other employment,3/23/2017,70610,Mixing,,Male,8/8/1979,Curing / Final Finish Operator SMT-003
60533124,5/18/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/18/2017,T5 End of intership,5/15/2017,12720,MV Plant Engineering,,Male,12/28/1992,Intern/Student Program - Non Technical
60533125,5/15/2017,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/29/2017,V3 Accepted other employment,8/23/2017,12730,MV Gen Maint,,Male,12/30/1993,Electrician MVN-132
60533128,5/18/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,5/9/2017,V0 Resignation unknown/Other,4/26/2017,80650,Bead,,Female,10/6/1990,Winding/Apex Machine Operator SMT-003
60533130,12/3/2012,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/1/2017,V3 Accepted other employment,4/28/2017,2301219132,Prod Sup Extr,,Male,8/27/1966,Manager Manufacturing Operations
60533136,8/31/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/25/2017,V5 Job abandonment,1/3/2017,12060,MV Radial Extruding,,Male,11/13/1973,Extruder Machine Operator MVN-223
60533150,8/31/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/1/2017,I5 Excessive absenteeism,5/30/2017,22060,MV CF Tire Assem PLT,,Male,8/19/1991,Tire Builder Operator MVN-222
60533163,3/14/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/4/2017,I5 Excessive absenteeism,1/2/2017,12570,MV Shipping and Whse,,Male,10/27/1965,Material Handler MVN-002
60533172,8/31/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,3/27/2017,V3 Accepted other employment,3/26/2017,12180,MV PII Trk Tire Bldg,,Male,2/15/1995,Tire Builder Operator MVN-222
60533187,5/9/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/31/2017,V0 Resignation unknown/Other,1/19/2017,12240,MV Pass/LT Curing,,Male,12/30/1996,Rework/Repair Operator Final Finish MVN-
60533191,7/1/2015,30 Termination,Mississauga,CA-ON-Mississauga-CTNA CA Sale,12/16/2016,VL Retirement early,1/1/2017,,,,Male,9/15/1957,
60533211,10/5/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/14/2017,I5 Excessive absenteeism,6/12/2017,12170,MV Tire Assembly PLT,,Male,3/29/1990,Tire Builder Operator MVN-222
60533215,10/5/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,2/3/2017,I5 Excessive absenteeism,2/1/2017,12050,MV CVT  Processing,,Male,4/10/1977,Crew Member MVN-206
60533250,6/8/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,8/25/2017,V3 Accepted other employment,8/17/2017,70620,Extrusion,,Male,12/21/1981,Crew Member SMT-002
60533256,12/7/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,3/9/2017,V5 Job abandonment,3/5/2017,12030,MV Mixing,,Male,11/6/1995,Mixer Machine Operator MVN-220
60533284,10/5/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/23/2017,I2 Disciplinary action,1/22/2017,12050,MV CVT  Processing,,Male,6/20/1985,Crew Member MVN-206
60533317,6/23/2015,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA,6/30/2017,T5 End of intership,6/1/2017,99150,HQ Com-Brands Manage,,Female,6/30/1992,Intern/Student Program - Technical
60533332,6/22/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,4/12/2017,V3 Accepted other employment,2/28/2017,71040,FG Warehouse,,Male,7/6/1967,Material Handler SMT-002
60533359,6/22/2015,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,3/13/2017,V3 Accepted other employment,3/10/2017,2301219131,Prod Sup Assembly,,Male,1/16/1960,Production Planning Associate
60533369,12/7/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/9/2017,V8 Relocation,6/8/2017,12570,MV Shipping and Whse,,Male,7/15/1992,Packaging Operator MVN-002
60533389,8/10/2015,30 Termination,Barnsville,US-GA-Barnsville-CTNA Aldora,4/12/2017,V0 Resignation unknown/Other,4/6/2017,18730,AD General Maint,,Male,1/26/1969,General Maintenance I ALD-001
60533402,5/9/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/23/2017,I2 Disciplinary action,5/22/2017,12170,MV Tire Assembly PLT,,Male,7/23/1977,Tire Builder Operator MVN-222
60533420,7/6/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,7/10/2017,V3 Accepted other employment,7/8/2017,12730,MV Gen Maint,,Male,11/29/1988,Electrician MVN-132
60533430,8/21/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/8/2017,V5 Job abandonment,8/31/2017,2301202050,Ext Asse. Labor AIS,,Female,3/20/1992,Assembler SOM-001
60533562,11/2/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,7/27/2017,I5 Excessive absenteeism,7/26/2017,12050,MV CVT  Processing,,Male,9/2/1992,Extruder Machine Operator MVN-223
60533576,6/6/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,8/3/2017,IM Migration term.involuntary,7/28/2017,2301203040,Weld-Perif/Frimo/KLN,,Female,9/19/1974,Operator SOM-002
60533600,8/3/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,2/25/2016,V3 Accepted other employment,7/1/2017,80660,Tire Building,,Male,3/13/1994,Tire Builder Operator SMT-004
60533603,8/31/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/9/2017,V3 Accepted other employment,1/4/2017,12250,MV Pass/LT F.F.,,Male,3/15/1990,Inspector I
60533610,11/2/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/26/2017,I5 Excessive absenteeism,4/24/2017,22040,MV CF Stock Prep,,Male,8/9/1994,Cutting/Slitting Machine Operator MVN-21
60533611,5/16/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,9/1/2017,T2 Family issues,8/31/2017,2301202050,Ext Asse. Labor AIS,,Female,6/21/1965,Assembler SOM-001
60533629,1/15/2017,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,5/1/2017,V3 Accepted other employment,4/28/2017,2301202030,Ext Mat Prep Labor A,,Male,5/26/1992,Operator SOM-001
60533637,2/29/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,10/2/2017,V3 Accepted other employment,9/30/2017,2301203030,BM Machine&Proctect,,Female,4/10/1992,Operator SOM-009
60533651,10/5/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,1/18/2017,I5 Excessive absenteeism,1/16/2017,12250,MV Pass/LT F.F.,,Male,5/12/1992,Rework/Repair Operator Final Finish MVN-
60533657,12/7/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,3/21/2017,I5 Excessive absenteeism,3/20/2017,22020,MV CF Pass Extruding,,Male,9/17/1988,Extruder Machine Operator MVN-223
60533658,7/25/2016,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,6/13/2017,I2 Disciplinary action,6/9/2017,22020,MV CF Pass Extruding,,Male,9/22/1995,Crew Member MVN-206
60533679,11/2/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,8/21/2017,I2 Disciplinary action,8/21/2017,12140,MV Pass/LT Bead Assm,,Male,5/14/1990,Winding/Apex Machine Operator MVN-207
60533747,12/7/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,5/18/2017,I5 Excessive absenteeism,5/14/2017,12180,MV PII Trk Tire Bldg,,Male,11/27/1993,Tire Builder Operator MVN-222
60533748,12/7/2015,30 Termination,Mt Vernon,US-IL-Mount Vernon-CTNA Prod,4/28/2017,I5 Excessive absenteeism,4/16/2017,12050,MV CVT  Processing,,Male,12/14/1993,Crew Member MVN-206
60533758,5/16/2016,30 Termination,Somersworth,US-NH-Somersworth-CT Tpol,8/18/2017,V3 Accepted other employment,8/16/2017,2301203050,EBA2 Crush ring ass.,,Male,8/9/1997,Operator SOM-002
60533773,8/24/2015,30 Termination,Fort Mill-CVT,US-SC-Fort Mill-CTNA,9/5/2017,V1 Mutual agreement,8/28/2017,99182,HQ-Com Sales US Repl,,Male,6/2/1992,Sales Associate - SIBP
60533786,8/31/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,7/24/2017,V3 Accepted other employment,7/10/2017,70620,Extrusion,,Male,10/26/1995,Extruder Machine Operator SMT-004
60533815,8/31/2015,30 Termination,Sumter,US-SC-Sumter-CTNA Prod,4/11/2017,V3 Accepted other employment,3/23/2017,70620,Extrusion,,Male,2/5/1982,Crew Member SMT-002
